field,value
volume,2025-01-01 00:00:00
pagine,215
formato,21
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41295
segnatura,SR
noName,142.5 M13
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
collabor,PAR J. PARAIN-VIAL
edizione,I
luogo_pub,LIGUGE'- VIENNE
editore,ED. SEGHERS
data_pub,COPYRIGHT 1966
volume,2025-01-01 00:00:00
pagine,191
formato,16
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41294
segnatura,SR
noName,142.5 M12
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,LYON
editore,PARVIS
data_pub,COPYRIGHT 1959
volume,2025-01-01 00:00:00
pagine,107
formato,17
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41293
segnatura,SR
noName,142.5 M11
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,NAUWELAERTS
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,91
formato,18
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41292
segnatura,SR
noName,142.5 M10
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,GALLIMARD
data_pub,COPYRIGHT 1948
volume,2025-01-01 00:00:00
pagine,327
formato,22
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41291
segnatura,SR
noName,142.5 M9
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,GALLIMARD
data_pub,COPYRIGHT 1927
volume,2025-01-01 00:00:00
pagine,341
formato,23
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41290
segnatura,SR
noName,142.5 M8
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,FLAMMARION
data_pub,COPYRIGHT 1959
volume,2025-01-01 00:00:00
pagine,235
formato,22
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41289
segnatura,SR
noName,142.5 M7
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,FLAMMARION
data_pub,COPYRIGHT 1951
volume,2025-01-01 00:00:00
pagine,207
formato,22
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41288
segnatura,SR
noName,142.5 M6
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1955
volume,2025-01-01 00:00:00
pagine,189
formato,19
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41287
segnatura,SR
noName,142.5 M5
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1944
volume,2025-01-01 00:00:00
pagine,371
formato,19
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41286
segnatura,SR
noName,142.5 M4
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1945
volume,2025-01-01 00:00:00
pagine,237
formato,19
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41285
segnatura,SR
noName,142.5 M3
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1964
volume,2025-02-02 00:00:00
pagine,189
formato,18
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41284
segnatura,SR
noName,142.5 M2
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1963
volume,2025-02-01 00:00:00
pagine,235
formato,18
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41283
segnatura,SR
noName,142.5 M1
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1964
volume,2025-01-01 00:00:00
pagine,220
formato,19
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41282
segnatura,SR
noName,142.5 M
cod_sez,FL
n_s_sez,21
autore,"MARCEL, GABRIEL"
titolo,ETRE ET AVOIR JOURNAL METAPHYSIQUE 1928-1933
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1968
volume,2025-01-01 00:00:00
pagine,220
formato,18
collezion,OPERE DI G. MARCEL
data_crea,2003-01-09 00:00:00
n_scheda,41281
segnatura,SR
noName,142.5 J1
cod_sez,FL
n_s_sez,21
autore,"JOLIVET, REGIS"
collabor,I. ANDREINI ROSSI
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,310
formato,19
collezion,CRITICA--KIERKEGAARD
data_crea,2003-01-09 00:00:00
n_scheda,41280
segnatura,SR
noName,142.5 J
cod_sez,FL
n_s_sez,21
autore,"JESI, FURIO"
edizione,I
luogo_pub,FOSSANO
editore,ESPERIENZE
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,271
formato,21
collezion,CRITICA--KIERKEGAARD
data_crea,2003-01-09 00:00:00
n_scheda,41279
segnatura,SR
noName,142.5 K13
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"C. FABRO, CURAT."
edizione,II
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1962
volume,2025-02-02 00:00:00
pagine,980
formato,18
collezion,OPERE DI KIERKEGAARD
data_crea,2003-01-09 00:00:00
n_scheda,41278
segnatura,SR
noName,142.5 K12
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"C. FABRO, CURAT."
edizione,II
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1962
volume,2025-02-01 00:00:00
pagine,1040
formato,18
collezion,OPERE DI KIERKEGAARD
data_crea,2003-01-09 00:00:00
n_scheda,41277
segnatura,SR
noName,142.5 K11
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"C. FABRO, CURAT."
edizione,I
luogo_pub,BRESCIA
editore,LA SCUOLA
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,290
formato,21
collezion,ANTOLOGIA DALLE OPERE
data_crea,2003-01-09 00:00:00
n_scheda,41276
segnatura,SR
noName,142.5 K10
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"L.VAGLIASINDI, TRAD."
edizione,I
luogo_pub,TORINO
editore,GRIBAUDI
data_pub,COPYRIGHT 1973
volume,2025-01-01 00:00:00
pagine,111
formato,18
collezion,FILOSOFIA/RELIGIONE
data_crea,2003-01-09 00:00:00
n_scheda,41275
segnatura,SR
noName,142.5 K9
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"R. CANTONI, CURAT."
edizione,I
luogo_pub,ROMA
editore,NEW COMPTON
data_pub,COPYRIGHT 1981
volume,2025-01-01 00:00:00
pagine,134
formato,21
collezion,FILOSOFIA
note_sp,SAGGI N. 10
data_crea,2003-01-09 00:00:00
n_scheda,41274
segnatura,SR
noName,142.5 K8
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"M. TOSCO, CURAT."
edizione,I
luogo_pub,TORINO
editore,GRIBAUDI
data_pub,COPYRIGHT 1968
volume,2025-01-01 00:00:00
pagine,112
formato,18
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41273
segnatura,SR
noName,142.5 K7
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"C. FABRO, CURAT."
edizione,I
luogo_pub,ROMA
editore,STUDIUM
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,408
formato,24
collezion,FILOSOFIA
note_sp,CULTURA N.XLI
data_crea,2003-01-09 00:00:00
n_scheda,41272
segnatura,SR
noName,142.5 K6
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"E. PACI, TRAD."
edizione,I
luogo_pub,TORINO
editore,PARAVIA
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,146
formato,20
collezion,FILOSOFIA
note_sp,BIBL. DI FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41271
segnatura,SR
noName,142.5 K5
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"D.T. DONADONI, TRAD."
edizione,I
luogo_pub,TORINO
editore,BORLA
data_pub,COPYRIGHT 1963
volume,2025-01-01 00:00:00
pagine,254
formato,20
collezion,FILOSOFIA
note_sp,LE IDEE E LA VITA N.7
data_crea,2003-01-09 00:00:00
n_scheda,41270
segnatura,SR
noName,142.5 K4
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"A.G. SABATINI, CURAT."
edizione,I
luogo_pub,ROMA
editore,NEWTON
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,100
formato,19.5
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41269
segnatura,SR
noName,142.5 K3
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"MON. DI ROSANO, TRAD."
edizione,II
luogo_pub,ALBA
editore,PAOLINE
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,366
formato,18.5
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41268
segnatura,SR
noName,142.5 K2
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"C. FABRO, CURAT."
edizione,I
luogo_pub,BOLOGNA
editore,ZANICHELLI
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,381
formato,24
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41267
segnatura,SR
noName,142.5 K1
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"C. FABRO, CURAT."
edizione,I
luogo_pub,TORINO
editore,SEI
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,275
formato,19.5
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41266
segnatura,SR
noName,142.5 K
cod_sez,FL
n_s_sez,21
autore,"KIERKEGAARD, SOREN"
collabor,"R. CANTONI, CURAT."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,215
formato,18
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41265
segnatura,SR
noName,142.5 C3
cod_sez,FL
n_s_sez,21
autore,"CRISTIN, RENATO"
collabor,"H.G. GADAMER, PREF."
edizione,I
luogo_pub,MILANO
editore,BOMPIANI
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,145
formato,22
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41264
segnatura,SR
noName,142.5 H
cod_sez,FL
n_s_sez,21
autore,"HEIDEGGER, MARTIN"
collabor,"P. CHIODI, TRAD."
edizione,I
luogo_pub,FIRENZE
editore,LA NUOVA ITALIA
data_pub,COPYRIGHT 1968
volume,2025-01-01 00:00:00
pagine,355
formato,21
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41263
segnatura,SR
noName,142.5 G5
cod_sez,FL
n_s_sez,21
autore,"GUITTON, JEAN"
collabor,"L.ROLFO, TRAD."
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,383
formato,21
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41262
segnatura,SR
noName,142.5 G4
cod_sez,FL
n_s_sez,21
autore,"GUITTON, JEAN"
collabor,"M.MESCHIARI, TRAD."
edizione,XIII
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,156
formato,20
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41261
segnatura,SR
noName,142.5 G3
cod_sez,FL
n_s_sez,21
autore,"GUITTON, JEAN"
collabor,"G. DI PAOLO, TRAD."
edizione,I
luogo_pub,MILANO
editore,MURSIA
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,230
formato,21
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41260
segnatura,SR
noName,142.5 G2
cod_sez,FL
n_s_sez,21
autore,"GARAUDY, ROGER"
collabor,"L. BACCHIARELLO, TRAD."
edizione,II
luogo_pub,ASSISI
editore,CITTADELLA
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,211
formato,20
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41259
segnatura,SR
noName,142.5 E
cod_sez,FL
n_s_sez,21
autore,"EBNER, FERDINAND"
collabor,"E. DUCCI, P. ROSSANO, CURAT."
edizione,I
luogo_pub,ROMA
editore,ANICIA
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,212
formato,24
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41258
segnatura,SR
noName,142.5 D1
cod_sez,FL
n_s_sez,21
autore,"DUCCI, EDDA"
edizione,I
luogo_pub,BRESCIA
editore,LA SCUOLA
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,171
formato,21
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41257
segnatura,SR
noName,142.5 D
cod_sez,FL
n_s_sez,21
autore,"DAVY, M.-M."
edizione,I
luogo_pub,PARIS
editore,FLAMMARION
data_pub,COPYRIGHT 1959
volume,2025-01-01 00:00:00
pagine,347
formato,21
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41256
segnatura,SR
noName,142.5 C2
cod_sez,FL
n_s_sez,21
autore,"CHIODI, PIETRO"
edizione,I- 7 RIST.
luogo_pub,TORINO
editore,LOESCHER
data_pub,COPYRIGHT 1971
volume,2025-01-01 00:00:00
pagine,223
formato,19
collezion,FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41255
segnatura,SR
noName,142.5 C1
cod_sez,FL
n_s_sez,21
autore,"CHENU, JOSEPH"
edizione,I
luogo_pub,PARIS
editore,AUBIER
data_pub,COPYRIGHT 1948
volume,2025-01-01 00:00:00
pagine,229
formato,19
collezion,LETTERATURA E FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41254
segnatura,SR
noName,142.5 C
cod_sez,FL
n_s_sez,21
autore,"CAMUS, ALBERT"
collabor,"B. DAL FABBRO, TRAD."
edizione,III
luogo_pub,MILANO
editore,BOMPIANI
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,295
formato,21
collezion,LETTERATURA E FILOSOFIA
data_crea,2003-01-09 00:00:00
n_scheda,41253
segnatura,SR
noName,141.8 B1
cod_sez,FL
n_s_sez,21
autore,"BELANGER, GERARD"
edizione,I
luogo_pub,PARIS
editore,ED. OUVRIERES
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,180
formato,19.5
collezion,FILOSOFIA / PEDAGOGIA
data_crea,2003-01-09 00:00:00
n_scheda,41252
segnatura,SR
noName,141.8 A
cod_sez,FL
n_s_sez,21
autore,"FLORES D'ARCAIS, GIUSEPPE"
edizione,I
luogo_pub,BRESCIA
editore,LA SCUOLA
data_pub,COPYRIGHT 1987
volume,2025-01-01 00:00:00
pagine,149
formato,20.5
collezion,FILOSOFIA / PEDAGOGIA
data_crea,2003-01-09 00:00:00
n_scheda,41251
segnatura,SR
noName,142.5 S8
cod_sez,FL
n_s_sez,21
collabor,CARLA BETTINELLI
edizione,I
luogo_pub,MILANO
editore,VITA E PENSIERO
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,224
formato,19
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41250
segnatura,SR
noName,142.5 S7
cod_sez,FL
n_s_sez,21
autore,"SOTTIAUX, EDGARD"
edizione,I
luogo_pub,LOUVAIN
editore,NAUWELAERTS
data_pub,COPYRIGHT 1956
volume,2025-01-01 00:00:00
pagine,220
formato,18
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41249
segnatura,SR
noName,142.5 S6
cod_sez,FL
n_s_sez,21
autore,"STEIN, EDITH"
collabor,"L. VIGONE, TRAD."
edizione,I
luogo_pub,ROMA
editore,CITTA' NUOVA
data_pub,COPYRIGHT 1988
volume,2025-01-01 00:00:00
pagine,560
formato,20
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41248
segnatura,SR
noName,142.5 A
cod_sez,FL
n_s_sez,21
autore,"AUDRY, COLETTE"
collabor,G. DACIO GIANI
edizione,I
luogo_pub,FIRENZE
editore,SANSONI
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,239
formato,20
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41247
segnatura,SR
noName,142.5 S5
cod_sez,FL
n_s_sez,21
autore,"STEFANINI, LUIGI"
edizione,I
luogo_pub,PADOVA
editore,CEDAM
data_pub,COPYRIGHT 1952
volume,2025-01-01 00:00:00
pagine,370
formato,23
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41246
segnatura,SR
noName,142.5 S4
cod_sez,FL
n_s_sez,21
autore,"STEFANI, MARIO"
edizione,I
luogo_pub,MILANO
editore,VITA E PENSIERO
data_pub,COPYRIGHT 1949
volume,2025-01-01 00:00:00
pagine,120
formato,19
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41245
segnatura,SR
noName,142.5 G1
cod_sez,FL
n_s_sez,21
autore,"GIDE, ANDRE"
edizione,I
luogo_pub,PARIS
editore,GALLIMARD
data_pub,COPYRIGHT 1949
volume,2025-02-02 00:00:00
pagine,1279
formato,18
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41244
segnatura,SR
noName,142.5 G
cod_sez,FL
n_s_sez,21
autore,"GIDE, ANDRE"
edizione,I
luogo_pub,PARIS
editore,GALLIMARD
data_pub,COPYRIGHT 1949
volume,2025-02-01 00:00:00
pagine,1375
formato,18
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41243
segnatura,SR
noName,142.2 H2
cod_sez,FL
n_s_sez,21
autore,HEGEL
titolo,ENCICLOPEDIA DELLE SCIENZE FILOSOFICHE IN COMPENDIO
collabor,"B. CROCE, TRAD."
edizione,II
luogo_pub,BARI
editore,LATERZA
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,657
formato,20
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41242
segnatura,SR
noName,142.5 S3
cod_sez,FL
n_s_sez,21
autore,"SARTRE, JEAN-PAUL"
collabor,"G. MONICELLI, TRAD."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,272
formato,18.5
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41241
segnatura,SR
noName,142.5 S2
cod_sez,FL
n_s_sez,21
autore,"SARTRE, JEAN-PAUL"
collabor,"S. ZOPPI, CURAT."
edizione,I
luogo_pub,TORINO
editore,SEI
data_pub,COPYRIGHT 1979
volume,2025-01-01 00:00:00
pagine,146
formato,21
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41240
segnatura,SR
noName,142.5 S1
cod_sez,FL
n_s_sez,21
autore,"SARTRE, JEAN-PAUL"
collabor,"F. DESSI', TRAD."
edizione,II
luogo_pub,VERONA
editore,MONDADORI
data_pub,COPYRIGHT 1960
volume,2025-02-02 00:00:00
pagine,385
formato,19
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41239
segnatura,SR
noName,142.5 S
cod_sez,FL
n_s_sez,21
autore,"SARTRE, JEAN-PAUL"
collabor,"E.G., P. CARUSO, CURAT."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,298
formato,19
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41238
segnatura,SR
noName,142.2 F
cod_sez,FL
n_s_sez,21
autore,"FICHTE, G. A."
collabor,"C. MAZZANTINI, CURAT."
edizione,I
luogo_pub,TORINO
editore,SEI
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,199
formato,21
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41237
segnatura,SR
noName,142.2 A
cod_sez,FL
n_s_sez,21
autore,ALAIN
collabor,"S. SOLMI, CURAT."
edizione,I
luogo_pub,TORINO
editore,EINAUDI
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,248
formato,18.5
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41236
segnatura,SR
noName,142.2 H1
cod_sez,FL
n_s_sez,21
autore,HEGEL
collabor,"N. MERKER-N.VACCARO, TRAD."
edizione,I
luogo_pub,TORINO
editore,EINAUDI
data_pub,COPYRIGHT 1976
volume,2025-02-02 00:00:00
pagine,684-1426
formato,18.5
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41235
segnatura,SR
noName,142.2 H
cod_sez,FL
n_s_sez,21
autore,HEGEL
collabor,"N. MERKER-N.VACCARO, TRAD."
edizione,I
luogo_pub,TORINO
editore,EINAUDI
data_pub,COPYRIGHT 1976
volume,2025-02-01 00:00:00
pagine,684
formato,18.5
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41234
segnatura,SR
noName,142.1 C
cod_sez,FL
n_s_sez,21
autore,"CHIODI, PIETRO"
edizione,I
luogo_pub,TORINO
editore,LOESCHER
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,153
formato,20
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41233
segnatura,SR
noName,142.1 G
cod_sez,FL
n_s_sez,21
autore,"GALLUPPI, PASQUALE"
edizione,I
luogo_pub,TORINO
editore,SEI
data_pub,COPYRIGHT 1949
volume,2025-01-01 00:00:00
pagine,141
formato,19
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41232
segnatura,SR
noName,142.1 K4
cod_sez,FL
n_s_sez,21
autore,"KANT, IMMANUEL"
collabor,"M. DAL PRA, TRAD."
edizione,I
luogo_pub,VERONA
editore,LA SCALIGERA
data_pub,COPYRIGHT 1940
volume,2025-01-01 00:00:00
pagine,168
formato,20
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41231
segnatura,SR
noName,142.1 K3
cod_sez,FL
n_s_sez,21
autore,"KANT, IMMANUEL"
collabor,"G. VIDARI, TRAD."
edizione,I
luogo_pub,TORINO
editore,PARAVIA
data_pub,COPYRIGHT 1923
volume,2025-01-01 00:00:00
pagine,96
formato,20
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41230
segnatura,SR
noName,142.1 K2
cod_sez,FL
n_s_sez,21
autore,"KANT, IMMANUEL"
collabor,"GV. GENTILE, TRAD."
edizione,I
luogo_pub,BARI
editore,LATERZA
data_pub,COPYRIGHT 1966
volume,2025-02-02 00:00:00
pagine,286 - 775
formato,18
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41229
segnatura,SR
noName,142.1 K1
cod_sez,FL
n_s_sez,21
autore,"KANT, IMMANUEL"
collabor,"GV. GENTILE, TRAD."
edizione,I
luogo_pub,BARI
editore,LATERZA
data_pub,COPYRIGHT 1966
volume,2025-02-01 00:00:00
pagine,286
formato,18
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41228
segnatura,SR
noName,142.1 K
cod_sez,FL
n_s_sez,21
autore,"KANT, IMMANUEL"
collabor,"F.CAPRA, TRAD."
edizione,I
luogo_pub,BARI
editore,LATERZA
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,228
formato,18
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41227
segnatura,SR
noName,141.8 S1
cod_sez,FL
n_s_sez,21
autore,"SCIACCA, MICHELE FEDERICO"
collabor,"A. CANTONI, CURAT."
edizione,I
luogo_pub,TORINO
editore,SEI
data_pub,COPYRIGHT 1960
volume,2025-01-01 00:00:00
pagine,192
formato,24
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41226
segnatura,SR
noName,141.8 S
cod_sez,FL
n_s_sez,21
autore,"STEFANINI, LUIGI"
edizione,I
luogo_pub,ROMA
editore,STUDIUM
data_pub,COPYRIGHT 1952
volume,2025-01-01 00:00:00
pagine,162
formato,17
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41225
segnatura,SR
noName,141.8 B
cod_sez,FL
n_s_sez,21
autore,"BUTTIGLIONE, ROCCO"
edizione,I
luogo_pub,MILANO
editore,JACA BOOK
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,346
formato,23
collezion,FILOSOFIA
data_crea,2003-01-08 00:00:00
n_scheda,41224
segnatura,SR
noName,141.8 R11
cod_sez,FL
n_s_sez,21
autore,"MORANDO, DANTE"
edizione,II
luogo_pub,BRESCIA
editore,LA SCUOLA
data_pub,1945
volume,2025-01-01 00:00:00
pagine,160
formato,15.5
collezion,MAESTRI DEL PENSIERO
data_crea,2003-01-08 00:00:00
n_scheda,41223
segnatura,SR
noName,141.8 R10
cod_sez,FL
n_s_sez,21
autore,"PUSINERI, GIOVANNI"
edizione,II
luogo_pub,DOMODOSSOLA
editore,SODALITAS
data_pub,1929
volume,2025-01-01 00:00:00
pagine,350
illustr,TAVOLE
formato,20
collezion,BIOGRAFIA
data_crea,2003-01-08 00:00:00
n_scheda,41222
segnatura,SR
noName,141.8 R9
cod_sez,FL
n_s_sez,6
autore,"ROSMINI, ANTONIO"
edizione,I
luogo_pub,DOMODOSSOLA
editore,SODALITAS
data_pub,1950
volume,2025-01-01 00:00:00
pagine,317
formato,16.5
collezion,MEDITAZIONI TRATTE DALLE LETTERE
data_crea,2003-01-08 00:00:00
n_scheda,41221
segnatura,SR
noName,141.8 R8
cod_sez,FL
n_s_sez,6
autore,"ROSMINI, ANTONIO"
edizione,I
luogo_pub,DOMODOSSOLA
editore,SODALITAS
data_pub,1940
volume,2025-01-01 00:00:00
pagine,284
formato,16.5
collezion,PAGINE SCELTE DI ASCETICA
data_crea,2003-01-08 00:00:00
n_scheda,41220
segnatura,SR
noName,141.8 R7
cod_sez,FL
n_s_sez,6
autore,"ROSMINI, ANTONIO"
collabor,"MANLIO CANAVESI, CURAT."
edizione,I
luogo_pub,TORINO
editore,L.I.C.E.
data_pub,1942
volume,2025-01-01 00:00:00
pagine,229
formato,16
collezion,PAGINE SCELTE DI ASCETICA
data_crea,2003-01-08 00:00:00
n_scheda,41219
segnatura,SR
noName,141.8 R6
cod_sez,FL
n_s_sez,6
