field,value
titolo,LA DOTTRINA CATTOLICA. CON COMMENTI DEI PADRI E DOTTORI DELLA CHIESA E DI SCRITTORI ANTICHI E MODERNI. II: LA MORALE
luogo_pub,PADOVA
editore,TIP. ANTONIANA
data_pub,1940
volume,2025-04-02 00:00:00
pagine,544
formato,25
data_crea,2003-02-27 00:00:00
n_scheda,42133
segnatura,CP
noName,"4/4,I (I-IV)"
cod_sez,CP
n_s_sez,4
autore,"MARTINATI, ALDO, SAC."
titolo,LA DOTTRINA CATTOLICA. CON COMMENTI DEI PADRI E DOTTORI DELLA CHIESA E DI SCRITTORI ANTICHI E MODERNI. I: LA FEDE
luogo_pub,PADOVA
editore,TIP. ANTONIANA
data_pub,1945
volume,2025-04-01 00:00:00
pagine,"VII,555"
formato,25
data_crea,2003-02-27 00:00:00
n_scheda,42132
segnatura,SR
noName,242(L P79
cod_sez,SP
n_s_sez,17
autore,"POLETTO, SEVERINO"
titolo,I MIEI OCCHI HANNO VISTO LA TUA SALVEZZA LETTERA PASTORALE PER LA MISSIONE DIOCESANA TERZA ETA'- ASTI- 19 95
edizione,I
luogo_pub,ASTI
editore,C.E.M. MONDOVI'
data_pub,1995
volume,2025-01-01 00:00:00
pagine,64
formato,20
data_crea,2003-02-27 00:00:00
n_scheda,42131
segnatura,SR
noName,262.1/217
cod_sez,AE
n_s_sez,3
titolo,RELIGIOSI E PROMOZIONE UMANA S. CONGREGAZIONE PER I RELIGIOSI E GLI ISTITUTI SECOLARI
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,1981
volume,2025-01-01 00:00:00
pagine,46
formato,18.5
collezion,VITA CONSACRATA N.8
data_crea,2003-02-27 00:00:00
n_scheda,42130
segnatura,SR
noName,262.1/216
cod_sez,AE
n_s_sez,3
autore,"POMA, ANTONIO, CARD."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,32
formato,18.5
collezion,MAESTRI DELLA FEDE N.105
data_crea,2003-02-27 00:00:00
n_scheda,42129
segnatura,SR
noName,262.1/215
cod_sez,AE
n_s_sez,3
titolo,GRAVISSIMUM EDUCATIONIS DHIARAZIONE DEL CONCILIO VATICANO II SULL'EDUCAZIONE CRISTIANA
edizione,IV
luogo_pub,ROMA
editore,PAOLINE
data_pub,1966
volume,2025-01-01 00:00:00
pagine,23
formato,16
collezion,IL PASTORE CHE CI GUIDA N.146
data_crea,2003-02-27 00:00:00
n_scheda,42128
segnatura,SR
noName,262.1/214
cod_sez,AE
n_s_sez,3
titolo,VENITE SEORSUM ISTRUZ. DELLA S. CONGREGAZIONE PER I RELIGIOSI E GLI ISTITUTI SE COLARI SULLA VITA CONTEMPLATIVA E SULLA CLAUSURA DELLE MONACHE
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,1969
volume,2025-01-01 00:00:00
pagine,32
formato,16
collezion,IL PASTORE N.180
data_crea,2003-02-27 00:00:00
n_scheda,42127
segnatura,SR
noName,262.1/213
cod_sez,AE
n_s_sez,3
titolo,RENOVATIONIS CAUSAM ISTRUZ. DELLA S. CONGREGAZIONE PER I RELIGIOSI E GLI ISTITUTI SE COLARI SULL'AGGIORNAMENTO DELLA FORMAZIONE ALLA VITA RELIGIOSA
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,1969
volume,2025-01-01 00:00:00
pagine,32
formato,16
collezion,IL PASTORE N.179
data_crea,2003-02-27 00:00:00
n_scheda,42126
segnatura,SR
noName,262.1/212
cod_sez,AE
n_s_sez,3
titolo,AD TOTAM ECCLESIAM DIRETTORIO PER L'APPLICAZIONE DELLE DECISIONI DEL CONCILIO VATIC ANO II SULL'ECUMENISMO
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,1967
volume,2025-01-01 00:00:00
pagine,37
formato,16
collezion,IL PASTORE N.171
data_crea,2003-02-27 00:00:00
n_scheda,42125
segnatura,SR
noName,262.1/211
cod_sez,AE
n_s_sez,3
titolo,EUCHARISTICUM MYSTERIUM ISTRUZIONE DELLA SACRA CONGREGAZIONE DEI RITI SUL CULTO DEL MIST ERO EUCARISTICO
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,1967
volume,2025-01-01 00:00:00
pagine,62
formato,16
collezion,IL PASTORE CHE CI GUIDA N. 172
data_crea,2003-02-27 00:00:00
n_scheda,42124
segnatura,SR
noName,262.1/210
cod_sez,AE
n_s_sez,3
titolo,MUSICAM SACRAM ISTRUZIONE DELLA SACRA CONGREGAZIONE DEI RITI SULLA MUSICA NELLA SACRA LITURGIA
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,1967
volume,2025-01-01 00:00:00
pagine,31
formato,16
collezion,IL PASTORE CHE CI GUIDA N. 166
