n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,n_scheda_field,cod_isbn,cod_sez,collabor,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,n_s_sez,note_sp,pagine,soggetto
41235,,HEGEL,COPYRIGHT 1976,TORINO,EINAUDI,FILOSOFIA,OPAC SBN,0.440,Filosofia della storia : antologia / G. W. F. Hegel,"Hegel, Georg Wilhelm Friedrich",1975,https://opac.sbn.it/bid/LO10042347,"{""bid"": ""IT\\ICCU\\LO1\\0042347""}",41235,,FL,"N. MERKER-N.VACCARO, TRAD.",I,ITALIANO,Scelta e introduzione di Claudio Cesa.,"XXXVI, 176 p. ; 20 cm",,,18.5,21,,684,
41236,,HEGEL,COPYRIGHT 1976,TORINO,EINAUDI,FILOSOFIA,OPAC SBN,0.440,Filosofia della storia : antologia / G. W. F. Hegel,"Hegel, Georg Wilhelm Friedrich",1975,https://opac.sbn.it/bid/LO10042347,"{""bid"": ""IT\\ICCU\\LO1\\0042347""}",41236,,FL,"N. MERKER-N.VACCARO, TRAD.",I,ITALIANO,Scelta e introduzione di Claudio Cesa.,"XXXVI, 176 p. ; 20 cm",,,18.5,21,,684-1426,
41237,,ALAIN,COPYRIGHT 1975,TORINO,EINAUDI,FILOSOFIA,OPAC SBN,0.880,Eléments de philosophie / Alain,Alain,1941,https://opac.sbn.it/bid/PAL0255592,"{""bid"": ""IT\\ICCU\\PAL\\0255592""}",41237,,FL,"S. SOLMI, CURAT.",I,FRANCESE,,373 p. ; 17 cm.,,,18.5,21,,248,
41238,,"FICHTE, G. A.",COPYRIGHT 1958,TORINO,SEI,FILOSOFIA,OPAC SBN,0.555,Filosofia della massoneria / G. Amedeo Fichte,"Fichte, Johann Gottlieb",2001,https://opac.sbn.it/bid/ANA0158569,"{""bid"": ""IT\\ICCU\\ANA\\0158569""}",41238,,FL,"C. MAZZANTINI, CURAT.",I,ITALIANO,,78 p. ; 21 cm.,,,21,21,,199,
41239,,"SARTRE, JEAN-PAUL",COPYRIGHT 1970,MILANO,MONDADORI,FILOSOFIA,OPAC SBN,0.880,Situations philosophiques / Jean-Paul Sartre,"Sartre, Jean-Paul",1990,https://opac.sbn.it/bid/LO11669441,"{""bid"": ""IT\\ICCU\\LO1\\1669441""}",41239,,FL,"E.G., P. CARUSO, CURAT.",I,FRANCESE,,325 p. ; 19 cm,,,19,21,,298,
41240,,"SARTRE, JEAN-PAUL",COPYRIGHT 1960,VERONA,MONDADORI,FILOSOFIA,OPAC SBN,0.880,Situations philosophiques / Jean-Paul Sartre,"Sartre, Jean-Paul",1990,https://opac.sbn.it/bid/LO11669441,"{""bid"": ""IT\\ICCU\\LO1\\1669441""}",41240,,FL,"F. DESSI', TRAD.",II,FRANCESE,,325 p. ; 19 cm,,,19,21,,385,
41241,,"SARTRE, JEAN-PAUL",COPYRIGHT 1979,TORINO,SEI,FILOSOFIA,OPAC SBN,0.880,Situations philosophiques / Jean-Paul Sartre,"Sartre, Jean-Paul",1990,https://opac.sbn.it/bid/LO11669441,"{""bid"": ""IT\\ICCU\\LO1\\1669441""}",41241,,FL,"S. ZOPPI, CURAT.",I,FRANCESE,,325 p. ; 19 cm,,,21,21,,146,
41242,,"SARTRE, JEAN-PAUL",COPYRIGHT 1975,MILANO,MONDADORI,FILOSOFIA,OPAC SBN,0.880,Situations philosophiques / Jean-Paul Sartre,"Sartre, Jean-Paul",1990,https://opac.sbn.it/bid/LO11669441,"{""bid"": ""IT\\ICCU\\LO1\\1669441""}",41242,,FL,"G. MONICELLI, TRAD.",I,FRANCESE,,325 p. ; 19 cm,,,18.5,21,,272,
41243,ENCICLOPEDIA DELLE SCIENZE FILOSOFICHE IN COMPENDIO,HEGEL,COPYRIGHT 1989,BARI,LATERZA,FILOSOFIA,OPAC SBN,0.422,Riassunti di opere filosofiche : Hegel. Enciclopedia delle scienze filosofiche in compendio / [a cura di] Ernesto Bignami,,1957,https://opac.sbn.it/bid/TSA0461800,"{""bid"": ""IT\\ICCU\\TSA\\0461800""}",41243,,FL,"B. CROCE, TRAD.",II,ITALIANO,,116 p. ; 16 cm.,,,20,21,,657,
41244,,"GIDE, ANDRE",COPYRIGHT 1949,PARIS,GALLIMARD,FILOSOFIA,Open Library,0.505,Journal 1942-1949,André Gide,1950,https://openlibrary.org/works/OL33768427W,{},41244,,FL,,I,,,,,,18,21,,1375,
